Nummer;Omschrijving;Brutoprijs;BTW Code;Omzetgroep;Voorraad;Barcode;"Inkoopprijs 
(optioneel)";"Leveranciers Nr. 
(optioneel)";"Art. Nr. Leverancier
(optioneel)";"Merk 
(optioneel)"
81;Denta Fun Chicken Chewing Roll, los, 17 cm, 45 g;1,79;2;15;100;4,05303E+12;€ 0,75;;;
82;Denta Fun Chicken Chewing Ring, los, ø 10 cm, 110 g;4,49;2;15;50;4,05303E+12;€ 2,05;;;
83;Denta Fun Chicken Chewing Ring, los, ø 6 cm, 55 g;2,49;2;15;50;4,05303E+12;€ 1,15;;;
84;Donuts, los, ø 10 cm, 100 g;4,49;2;15;50;4,05303E+12;€ 2,05;;;
85;Denta Fun Chicken Taco, los, 12 cm, 80 g;2,99;2;15;50;4,01191E+12;€ 1,27;;;
86;Denta Fun Chicken Chewing Curl, los, 15 cm, 35 g;1,99;2;15;50;4,05303E+12;€ 0,89;;;
87;Chicken Cheese Lolly, los, 10 cm, 20 g;0,69;2;15;50;4,05303E+12;€ 0,34;;;
88;Mini Pretzel met kip, los, 6 × 4 cm, 10 g;0,49;2;15;300;4,05303E+12;€ 0,19;;;
89;PREMIO Chicken Flag, los, 14 cm, 20–30 g;0,69;2;15;220;4,05303E+12;€ 0,34;;;
90;PREMIO Bullduck, los, 9 cm, 11 g;0,49;2;15;85;4,01191E+12;€ 0,19;;;
91;PREMIO Lamb Chicken Bagel, los, ø 4 cm, 17 g;0,69;2;15;300;4,05303E+12;€ 0,27;;;
92;Dog Disc, natuurrubber, ø 15 cm, limoen;4,99;2;15;3;4,01191E+12;€ 2,45;;;
93;Dog Disc, natuurrubber, ø 18 cm;5,99;2;15;3;4,01191E+12;€ 2,95;;;
94;Dog Disc, natuurrubber, ø 22 cm, oranje;7,99;2;15;3;4,01191E+12;€ 3,95;;;
95;Dog Disc, natuurrubber, ø 24 cm, pink;9,99;2;15;3;4,01191E+12;€ 4,95;;;
96;Tennisbal, ø 6 cm;1,79;2;15;39;4,01191E+12;€ 0,79;;;
97;Tennisbal, ø 10 cm;4,99;2;15;24;4,01191E+12;€ 2,45;;;
98;BE NORDIC walvis Brunold, pluche, 25 cm;8,99;2;15;6;4,01191E+12;€ 4,45;;;
99;BE NORDIC krab Melf, pluche, 28 cm;8,99;2;15;6;4,04797E+12;€ 4,45;;;
100;BE NORDIC meeuw Hinnerk, pluche, 35 cm;9,99;2;15;6;4,01191E+12;€ 4,95;;;
101;BE NORDIC octopus Ocke, pluche, 25 cm;9,99;2;15;6;4,01191E+12;€ 4,95;;;
102;BE NORDIC walrus Til, pluche, 28 cm;8,99;2;15;6;4,01191E+12;€ 4,45;;;
103;BE NORDIC zeehond Thies, pluche, 30 cm;8,99;2;15;6;4,01191E+12;€ 4,45;;;
104;kaart Dog Another Wrinkle;2,79;2;13;6;5,01768E+12;€ 1,40;;;
105;kaart Dog Song;2,79;2;13;6;5,01768E+12;€ 1,40;;;
106;kaart Easy Rider;2,79;2;13;6;5,01768E+12;€ 1,40;;;
107;kaart Girls Have Fun;2,79;2;13;6;5,01768E+12;€ 1,40;;; 
108;Kaart Hugs and Kisses;2,79;2;13;6;5,01768E+12;€ 1,40;;;
109;Kaart Kermit Pups;2,79;2;13;6;5,01768E+12;€ 1,40;;;
110;Kaart Living Dream;2,79;2;13;6;5,01768E+12;€ 1,40;;;
111;Kaart Party Pup!;2,79;2;13;6;5,01768E+12;€ 1,40;;;
112;kaart Rockin' Pup;2,79;2;13;6;5,01768E+12;€ 1,40;;;
113;kaart Stripey Dog;2,79;2;13;6;5,01768E+12;€ 1,40;;;
114;kaart Toppertje;2,79;2;13;6;5,01768E+12;€ 1,40;;;
115;Kaart You Are Perfect;2,79;2;13;6;8,72063E+12;€ 1,40;;;
116;Kaart With Love Choc Lab;2,79;2;13;6;8,72063E+12;€ 1,40;;;
117;Kaart Toppertje;2,79;2;13;6;8,72017E+12;€ 1,40;;;
118;Kaart Thinking Of You;2,79;2;13;6;8,72063E+12;€ 1,40;;;
119;Kaart Take It Easy;2,79;2;13;6;8,72063E+12;€ 1,40;;;
120;Kaart Super Frenchie;2,79;2;13;6;8,72017E+12;€ 1,40;;;
121;Kaart Summer Holiday;2,79;2;13;6;8,72017E+12;€ 1,40;;;
122;Kaart Stay Strong;2,79;2;13;6;8,72063E+12;€ 1,40;;;
123;Kaart Route 66 Frenchie;2,79;2;13;6;8,72063E+12;€ 1,40;;;
124;Kaart Relax Guinea Pig;2,79;2;13;6;8,72017E+12;€ 1,40;;;
125;Kaart Relax Bulldog;2,79;2;13;6;8,72063E+12;€ 1,40;;;
126;Kaart Racewagen;2,79;2;13;18;8,72017E+12;€ 1,40;;;
127;Kaart Party Pug;2,79;2;13;6;8,72017E+12;€ 1,40;;;
128;Kaart Magical Birthday;2,79;2;13;6;8,72063E+12;€ 1,40;;;
129;Kaart Just For You;2,79;2;13;6;8,72017E+12;€ 1,40;;;
130;Kaart It's A Girl;2,79;2;13;6;8,72017E+12;€ 1,40;;;
131;Kaart It's A Boy;2,79;2;13;6;8,72017E+12;€ 1,40;;;
132;Kaart Hugs & Kisses;2,79;2;13;6;8,72017E+12;€ 1,40;;;
133;Kaart Howling Pups;2,79;2;13;6;8,72063E+12;€ 1,40;;;
134;Kaart How Old;2,79;2;13;6;8,72017E+12;€ 1,40;;;
135;Kaart Houston Birthday;2,79;2;13;6;8,72063E+12;€ 1,40;;;
136;Kaart Hieper De Pup!;2,79;2;13;6;8,72017E+12;€ 1,40;;;
137;Kaart Here For You;2,79;2;13;6;8,72063E+12;€ 1,40;;;
138;Kaart Heel Veel Sterkte;2,79;2;13;6;8,72063E+12;€ 1,40;;;
139;Kaart Happy Birthday Teckel;2,79;2;13;6;8,72063E+12;€ 1,40;;;
140;Kaart Happy Birthday Border Collie;2,79;2;13;6;8,72063E+12;€ 1,40;;;
141;Kaart Glamorous Chihuahua;2,79;2;13;6;8,72017E+12;€ 1,40;;;
142;Kaart Get Well Soon;2,79;2;13;6;8,72063E+12;€ 1,40;;;
143;Kaart Funny Dog;2,79;2;13;6;8,72017E+12;€ 1,40;;;
144;Kaart Frenchie Birthday;2,79;2;13;6;8,72017E+12;€ 1,40;;;
145;Kaart Cool Birthday;2,79;2;13;6;8,72063E+12;€ 1,40;;;
146;Kaart Classic Beagle;2,79;2;13;6;8,72063E+12;€ 1,40;;;
147;Kaart Chill Out Mom;2,79;2;13;6;8,72017E+12;€ 1,40;;;
148;Kaart Cheers Big Ears;2,79;2;13;6;8,72063E+12;€ 1,40;;;
149;Kaart Boer Jan;2,79;2;13;6;8,72017E+12;€ 1,40;;;
150;Kaart Boer Gerrit;2,79;2;13;6;8,72017E+12;€ 1,40;;;
151;Kaart Bling!;2,79;2;13;6;8,72017E+12;€ 1,40;;;
152;Kaart Birthday Queen;2,79;2;13;6;8,72063E+12;€ 1,40;;;
153;Kaart Birthday Pug;2,79;2;13;6;8,72063E+12;€ 1,40;;;
154;Kaart Birthday Party;2,79;2;13;6;8,72063E+12;€ 1,40;;;
155;Kaart Birthday Kisses Teckel;2,79;2;13;6;8,72017E+12;€ 1,40;;;
156;Kaart Birthday King;2,79;2;13;6;8,72063E+12;€ 1,40;;;
157;Kaart Birthday Beauty;2,79;2;13;6;8,72063E+12;€ 1,40;;;
158;Costume Red Paw Female L;19,95;2;13;6;8,71713E+12;€ 7,00;;;
159;Costume Red Paw Female M;19,95;2;13;6;8,71713E+12;€ 6,50;;;
160;Costume Red Paw Female S;19,95;2;13;6;8,71713E+12;€ 6,50;;;
161;Costume Red Paw Female XL;19,95;2;13;6;8,71713E+12;€ 7,00;;;
162;Costume Red Paw Male L;19,95;2;13;6;8,71713E+12;€ 7,00;;;
163;Costume Red Paw Male M;19,95;2;13;6;8,71713E+12;€ 6,50;;;
164;Costume Red Paw Male S;19,95;2;13;6;8,71713E+12;€ 6,50;;;
165;Costume Red Paw Male XL;19,95;2;13;6;8,71713E+12;€ 7,00;;;
166;Chicken Nuggets, 100 g automatiek;2;2;15;12;4,05303E+12;€ 1,79;;;
167;Chicken Fries, 100 g automatiek;2;2;15;12;4,05303E+12;€ 1,79;;;
168;Chicken Burger, 9 cm, 140 g automatiek;2;2;15;12;4,05303E+12;€ 2,30;;;
169;Sweet Potato Crossies met gevogelte, 100 g automatiek;2;2;15;12;4,05303E+12;€ 1,39;;;
170;Black & White Cookies, ø 4 cm, 4 st./100 g;3,95;2;15;12;4,01191E+12;€ 1,39;;;
171;Waffles met kip, ø 7 cm, 3 st./100 g;3,95;2;15;12;4,01191E+12;€ 1,69;;;
172;Chicken Chip Cookies, 100 g;3,95;2;15;6;4,01191E+12;€ 1,69;;;
173;Mini Pretzels, 100 g;5,95;2;15;12;4,01191E+12;€ 2,05;;;
174;Dog Beer Bottle Mixed Europe 25cl;3;1;14;204;5,43E+12;€ 1,30;;;
175;Dog Beer Bottle Chicken Europe 25cl;3;1;14;204;5,43E+12;€ 1,30;;;
176;Gift Box;19,95;1;14;12;5,43E+12;€ 7,13;;;
177;Delicious Box Chicken & Chips;14,95;1;14;6;5,43E+12;€ 7,00;;;
178;Christmas Advent Calendar;9,95;2;14;6;5,43E+12;€ 6,00;;;
179;Dog Fries Chicken 40gr.;3;2;14;198;5,43E+12;€ 0,95;;;
180;Dog Fries Crispy 40gr.;3;2;14;6;5,43E+12;€ 0,95;;;
181;Dog Fries Salmon 40gr.;3;2;14;198;5,43E+12;€ 0,95;;;
182;Dog Popcorn 40gr.;3;2;14;162;5,543E+13;€ 0,95;;;
183;Dog Sushi Chicken 80gr.;3,95;2;14;5;5,43E+12;€ 1,79;;;
184;Hotdog per twee stuks;3;2;10;28;Kassa zelf maken;€ 1,35;;;
185;Hondenvoorleesboek;22,95;2;10;3;9,78908E+12;€ 19,95;;;
186;visspeeltje;3,95;2;10;10;Kassa zelf maken;€ 1,00;;;
187;likmat;4,95;2;10;10;8,71534E+12;€ 1,95;;;
188;nerfdog speelgoed;13,95;2;10;2;84699803525;€ 6,99;;;
189;Hondentas WOODSTOCK BAG | Handgemaakt;79,95;2;8;4;15555;39,98;;;
190;Hondentas HIPSTER BAG BLONDIE;119,95;2;8;4;14473;59,98;;;
191;Cadeauzakje katoen;;2;8;30;79030;€ 0,30;;;
192;Hondenhalsband BOHO DIEGO 2.5 cm / 28 - 34 cm;€ 59,95;2;8;2;77135;€ 29,98;;;
193;Hondenhalsband BOHO DIEGO | M 2.5 cm / 32 - 42 cm;€ 69,95;2;8;2;77142;€ 34,98;;;
194;Hondenhalsband BOHO DIEGO | L 4 cm / 39 - 49 cm;€ 74,95;2;8;2;77159;€ 37,48;;;
195;Hondenhalsband BOHO DIEGO | XL 4 cm / 47 - 57 cm;€ 79,95;2;8;2;77166;€ 39,98;;;
196;"Hondenhalsband Party Animal | Kerst special | S 2.5 cm / 28
- 34 cm";€ 59,95;2;8;2;8,7202E+12;€ 15,00;;;
197;"Hondenhalsband Party Animal | Kerst special | M 2.5 cm /
32 - 42 cm";€ 69,95;2;8;2;8,7202E+12;€ 17,50;;;
198;"Hondenhalsband Party Animal | Kerst special | L 2.5 cm / 39
- 49 cm";€ 74,95;2;8;2;8,7202E+12;€ 15,00;;;
199;Hondenhalsband Party Animal | Kerst special | XL 4 cm / 47- 57 cm;€ 79,95;2;8;2;8,7202E+12;€ 17,50;;;
200;Hondenriem BOHO DIEGO | L 2,5 cm/ 135 cm;€ 54,95;2;8;2;77258;€ 20,00;;;
201;Sleutelhanger BOHO DIEGO | 1,5 cm/15 cm;€ 19,95;2;8;3;77234;€ 7,48;;;
202;Hondenhalsband Party Animal | Kerst special | XS 2 cm 24 -30 cm;€ 49,95;2;8;2;8,7202E+12;€ 12,50;;;
203;Hondenhalsband BOHO DIEGO | XS 2 cm 24 - 30 cm;€ 49,95;2;8;2;77111;€ 22,48;;;
204;Hondenijsje Bark & BRRR;€ 3,50;1;3;800;Kassa zelf maken;€ 1,65;;;
205;Sotnos Raincoat Sunshine Yellow Xs;€ 19,95;2;7;2;5,03319E+12; 10,00;;;
206;Sotnos Raincoat Sunshine Yellow S;€ 21,95;2;7;2;5,03319E+11;€ 10,75;;;
207;Sotnos Raincoat Sunshine Yellow M;€ 23,95;2;7;1;5,03319E+12;€ 15,50;;;
208;Sotnos Raincoat Sunshine Yellow L;€ 25,95;2;7;2;5,03319E+11;€ 13,50;;;
209;Sotnos Raincoat Sunshine Yellow Xl;€ 27,95;2;7;2;Kassa zelf maken;€ 15,50;;;
210;Vanilla Woofin With Pink Frosting;€ 4,99;2;7;6;5,0602E+12;€ 2,50;;;
211;Carob Woofin With Yellow Frosting;€ 4,99;2;7;6;6,04566E+11;€ 2,50;;;
212;Doggy Cheesey Pupcorn Bag ;€ 2,00;2;7;12;3,5346E+11;€ 1,42;;;
213;Counter Jar Mini Iced Woofins;€ 2,00;2;7;45;3,66337E+11;€ 0,78;;;
214;Domuttz Barking bakkery ;€ 6,95;2;7;12;7,42679E+12;€ 3,50;;;
215;Tippy Taps Fruit Snack Kokosnoot ;€ 5,95;2;17;16;6,00289E+11;€ 3,23;;;
216;Tippy Taps Fruit Snack Ananas ;€ 5,95;2;17;16;6,00289E+11;€ 3,23;;;
217;Tippy Taps Fruit Snack Banaan;€ 5,95;2;17;16;6,00289E+11;€ 3,23;;;
218;Tippy Taps Fruit Snack Mango |;€ 5,95;2;17;16;6,00289E+11;€ 3,23;;;
219;Tippy Taps Fruit Snack Groene Appel ;€ 5,95;2;17;16;6,00289E+11;€ 3,23;;;
220;Tippy Taps Fruit Snack Rode Appel ;€ 5,95;2;17;16;6,00289E+11;€ 3,23;;;
221;Pet Joy Doggie Dippers Lavender & Charmomile;€ 4,99;2;5;6;barcode nog niet aanwezig;€ 1,73;;;
222;Pet Joy Doggie Dippers Tumeric & Chia;€ 4,99;2;5;6;barcode nog niet aanwezig;€ 1,73;;;
223;Pet Joy Doggie Dippers Honey & Quinoa;€ 4,99;2;5;6;barcode nog niet aanwezig;€ 1,73;;;
224;Pet Joy Doggie Dippers Crunchy;€ 4,99;2;5;6;barcode nog niet aanwezig;€ 1,73;;;
225;Pet Joy Doggie Dippers Cranberry;€ 4,99;2;5;6;barcode nog niet aanwezig;€ 1,73;;;
226;Pet Joy Doggie Dippers Carob;€ 4,99;2;5;6;barcode nog niet aanwezig;€ 1,73;;;
227;Pet Joy Pindakaas Lavender & Charmomile;€ 7,99;2;5;6;barcode nog niet aanwezig;€ 3,22;;;
228;Pet Joy Pindakaas Crunchy;€ 7,99;2;5;6;barcode nog niet aanwezig;€ 3,22;;;
229;Pet Joy Pindakaas Carob;€ 7,99;2;5;6;barcode nog niet aanwezig;€ 3,22;;;
230;Kadotas klein roze;0,5;2;10;25;8,71489E+12;onbekend;;;
231;Kadotas groot roze;0,5;2;10;;8,71489E+12;onbekend;;;
